"city";"region"
сим;Челябинская область
сочи;Краснодарский край
тара;Омская область
ужур;Красноярский край
урай;Ханты-Мансийский Автономный округ — Югра
уфа;Республика Башкортостан
ухта;Республика Коми
уяр;Красноярский край
холм;Новгородская область
чита;Забайкальский край
шали;Чеченская Республика
шацк;Рязанская область
шуя;Ивановская область
южа;Ивановская область
юрга;Кемеровская область — Кузбасс
